name,AB_IG,HT_IG,Ibk_IG,J48_IG,Jrip_IG,Log_IG,MLP_IG,NB_IG,REP_IG,RF_IG,SGD_IG,SVM_IG
hepatitis.arff,0.8777512,0.7980769,0.663782,0.6965544,0.6524305,0.8092414,0.7790065,0.9005557,0.5458333,0.7512822,0.7432694,0.7512822
hip.arff,0.8555556,0.8222223,0.5416667,0.6583333,0.5805555,0.8666667,0.8944445,0.859188,0.5388889,0.8,0.8416666,0.8
house_16H.arff,0.8937907,0.8268753,0.779805,0.8536158,0.8399768,0.8863311,0.8893777,0.8333334,0.9036033,0.7601012,0.7734401,0.7601012
house_8L.arff,0.915095,0.8514488,0.7716583,0.8992852,0.8413058,0.8867198,0.8880279,0.8455615,0.9116568,0.7607105,0.7799774,0.7607105
houses.arff,0.9963474,0.9929833,0.9694227,0.9924208,0.9862831,0.9949164,0.9926135,0.8676821,0.9960217,0.9606006,0.961532,0.9606006
housing.arff,0.9186544,0.8469021,0.8315066,0.8658395,0.8638386,0.9353887,0.9293265,0.991994,0.8792478,0.8524014,0.8556689,0.8524014
humandevel.arff,0.9511904,0.9547618,0.8928571,0.8928572,0.8773811,0.9547618,0.9547618,0.8671401,0.5,0.875,0.875,0.875
hungarian.arff,0.8915392,0.8991069,0.74874,0.7658213,0.764572,0.9097076,0.9007124,0.9547618,0.8270549,0.7966266,0.8057576,0.7966266
hutsof99_child_witness.arff,0.8166667,0.8,0.6916666,0.7208333,0.6499999,0.8916667,0.8,0.8990377,0.5083333,0.7,0.7166666,0.7
hutsof99_logis.arff,0.7749999,0.8416666,0.6708333,0.6375,0.6499998,0.7666666,0.7416666,0.8,0.6375,0.6999999,0.6458332,0.6999999
hypothyroid.arff,0.9941382,0.9886055,0.6761353,0.9892537,0.986594,0.9730831,0.9097846,0.8416666,0.9893132,0.5750864,0.6793391,0.5750864
ionosphere.arff,0.9526274,0.9374099,0.8231581,0.8907519,0.8951023,0.8710955,0.8465162,0.9193266,0.8961422,0.8541604,0.8438915,0.8541604
iris.arff,1,1,1,0.99,1,1,1,0.9370323,1,1,1,1
irish.arff,1,1,1,1,1,1,1,1,1,1,0.574,1
jEdit_4.0_4.2.arff,0.7968407,0.7277865,0.6881083,0.7331043,0.7525903,0.8089482,0.7882261,1,0.8091246,0.6722527,0.7153847,0.6722527
