name,AB_IG,HT_IG,Ibk_IG,J48_IG,Jrip_IG,Log_IG,MLP_IG,NB_IG,REP_IG,RF_IG,SGD_IG,SVM_IG
analcatdata_draft.arff,0.6063207,0.5340909,0.5377449,0.5,0.5106952,0.5712567,0.4836006,0.5985295,0.5379679,0.5679291,0.5,0.5
analcatdata_election2000.arff,0.99,1,0.955,0.885,0.94,0.965,0.99,0.99,0.5,1,0.895,0.85
analcatdata_gsssexsurvey.arff,0.5728097,0.5,0.5461538,0.5063567,0.4961538,0.6067842,0.6000535,0.5532052,0.5,0.5687768,0.5544871,0.5294871
analcatdata_gviolence.arff,0.9766666,0.9833333,0.9483333,0.9775,0.9775,1,1,0.975,0.5,0.9916667,0.9875,0.9875
analcatdata_halloffame.arff,0.9452517,0.5,0.7689806,0.7659626,0.7873443,0.9638184,0.9280961,0.9490933,0.5,0.9596473,0.8035368,0.7910402
analcatdata_japansolvent.arff,0.8694445,0.925,0.8249999,0.6916666,0.8249999,0.8166667,0.8944445,0.925,0.5,0.8611112,0.7166665,0.825
analcatdata_lawsuit.arff,0.9896666,0.9855834,0.8198333,0.9198751,0.9709167,0.9979167,0.9958334,0.9875834,0.96275,0.9949167,0.8229167,0.55
analcatdata_marketing.arff,0.5577804,0.5,0.5331818,0.4918031,0.5332873,0.5138699,0.5495733,0.5193068,0.5067727,0.4755064,0.4851591,0.5232425
analcatdata_michiganacc.arff,0.8383332,0.8050001,0.6625001,0.6391668,0.62375,0.8033332,0.8091667,0.8016668,0.6079168,0.7579166,0.7383334,0.7408334
analcatdata_neavote.arff,0.4277779,0.3611111,0.5,0.35,0.35,0.4777778,0.4,0.4722223,0.35,0.4999999,0.35,0.35
analcatdata_negotiation.arff,0.9432539,0.9674603,0.7726189,0.8511904,0.8369047,0.9746032,0.9666666,0.9603175,0.8392857,0.9309522,0.8297618,0.7797618
analcatdata_olympic2000.arff,1,0.9666667,0.8708332,0.9833333,0.9833333,0.95,0.938889,0.9666667,0.5,1,0.8999999,0.9041666
analcatdata_reviewer.arff,0.6433677,0.6602292,0.622504,0.5727918,0.5874841,0.657937,0.5984558,0.6735815,0.5,0.6491171,0.6011252,0.5946834
analcatdata_runshoes.arff,0.7416668,0.8375001,0.525,0.7388889,0.7541667,0.8541667,0.825,0.8250001,0.6590277,0.8361112,0.7083333,0.6583333
analcatdata_seropositive.arff,0.9802777,0.9597222,0.9656944,0.9261111,0.8736111,0.9683333,0.9572222,0.9575,0.88375,0.9855555,0.9494444,0.9494444
analcatdata_supreme.arff,0.9982442,0.9867157,0.9971363,0.9854205,0.9873279,0.9940097,0.9924727,0.9853547,0.9899954,0.9979922,0.9841502,0.9832637
analcatdata_uktrainacc.arff,0.35,0.3,0.2,0.325,0.35,0.3666667,0.3166667,0.225,0.2,0.3333333,0.225,0.25
analcatdata_vehicle.arff,0.8875,0.9,0.9333334,0.8416666,0.7583333,0.825,0.8916666,0.9,0.8416666,0.9666667,0.7666666,0.8416666
analcatdata_vineyard.arff,0.8096474,0.8718772,0.8559066,0.8976649,0.8650869,0.8373443,0.7618727,0.8819321,0.9026283,0.9475595,0.7492951,0.7487456
