name,AB_CBF,HT_CBF,Ibk_CBF,J48_CBF,Jrip_CBF,Log_CBF,MLP_CBF,NB_CBF,REP_CBF,RF_CBF,SGD_CBF,SVM_CBF
delta_ailerons.arff,0.9637451,0.9400539,0.913614,0.9489791,0.9479831,0.9719138,0.9700495,0.9656838,0.9615131,0.978568,0.9377988,0.9389888
delta_elevators.arff,0.934898,0.9068116,0.82836,0.904599,0.8955122,0.9425255,0.9422746,0.934749,0.925347,0.9412717,0.8801121,0.8805617
diabetes.arff,0.804671,0.8170598,0.6614586,0.7491454,0.7051666,0.8344958,0.8315299,0.8206495,0.7567308,0.8177436,0.7290541,0.718943
diabetes_numeric.arff,0.6875,0.7083334,0.4833332,0.5208333,0.6333333,0.6499999,0.7750001,0.7083334,0.5833333,0.6333334,0.5416666,0.5166666
diggle_table_a1.arff,0.7250001,0.7666668,0.6833333,0.5375,0.4916668,0.75,0.7416667,0.7666668,0.5458334,0.7833334,0.6583333,0.6999999
diggle_table_a2.arff,1,0.9657073,0.9845098,0.9966667,0.9966667,0.9941316,0.9991666,0.9661239,0.9970588,1,0.9758946,0.9141947
disclosure_x_bias.arff,0.5076472,0.541262,0.5000151,0.4910846,0.513413,0.5762299,0.5884316,0.5696693,0.5222841,0.5004551,0.5704676,0.5526184
disclosure_x_noise.arff,0.5281684,0.5423633,0.5075422,0.5015598,0.5140469,0.5556477,0.5484596,0.5486401,0.4938631,0.4852558,0.5523564,0.5498749
disclosure_x_tampered.arff,0.5279519,0.5161496,0.5062917,0.4939394,0.5508523,0.5521332,0.5479574,0.5476179,0.4785291,0.4785598,0.5519608,0.5470031
disclosure_z.arff,0.5011357,0.5730187,0.5356854,0.5,0.5586492,0.5764394,0.5829346,0.576879,0.5348297,0.5166515,0.5632189,0.5468312
echoMonths.arff,0.7773811,0.8166667,0.682143,0.8071428,0.7928571,0.7880953,0.7952382,0.8166666,0.8238095,0.8309523,0.7952381,0.7952381
ecoli.arff,0.9874812,0.9802004,0.9427944,0.9626505,0.9642951,0.987995,0.9865538,0.9872619,0.9471805,0.9870803,0.9637594,0.9621993
electricity.arff,0.8283764,0.8315237,0.7903917,0.9284003,0.863036,0.8273975,0.8161543,0.7898398,0.9304488,0.9774825,0.740639,0.7349498
elevators.arff,0.8224055,0.8006375,0.742625,0.8233876,0.7833013,0.9432004,0.9405433,0.7992241,0.8466352,0.9171318,0.8500175,0.8202991
elusage.arff,0.9555555,0.9555555,0.9138888,0.9083333,0.9333332,0.9388888,0.9388888,0.9555555,0.9055555,0.9527777,0.8666666,0.8916666
fl2000.arff,0.81875,0.7416667,0.7566667,0.7270833,0.7208334,0.8374999,0.875,0.7125001,0.8,0.85,0.6791667,0.6166667
flags.arff,0.7485806,0.7536632,0.6766942,0.6590203,0.6706045,0.7690019,0.839011,0.7953299,0.5,0.7986264,0.7217033,0.7130954
