name,AB_CBF,HT_CBF,Ibk_CBF,J48_CBF,Jrip_CBF,Log_CBF,MLP_CBF,NB_CBF,REP_CBF,RF_CBF,SGD_CBF,SVM_CBF
arsenic-female-bladder.arff,0.7824135,0.8198361,0.6404919,0.5,0.5427083,0.8052028,0.7970136,0.8603419,0.698795,0.7809039,0.5666666,0.5666666
arsenic-female-lung.arff,0.938426,0.8231482,0.8953705,0.5,0.825,0.862963,0.8796296,0.8680557,0.8930555,0.8958333,0.85,0.85
arsenic-male-bladder.arff,0.8989431,0.8447066,0.7934312,0.5,0.7416666,0.8166317,0.8697763,0.8663085,0.838854,0.8944182,0.7583333,0.7583333
arsenic-male-lung.arff,0.95,1,1,0.5,0.95,1,1,1,0.925,1,1,1
audiology.arff,0.9818995,0.4882352,0.9625489,0.9768627,0.9532353,0.8870526,0.985098,0.9679779,0.9750979,0.992549,0.9459927,0.9378432
Australian.arff,0.9195898,0.8547351,0.8027892,0.8760252,0.8717798,0.9325723,0.9283735,0.8210811,0.8924029,0.9302218,0.8591045,0.8620608
auto_price.arff,1,0.9946969,0.9265152,0.9469697,0.9539394,0.9581818,0.9981818,0.9946969,0.9619696,0.9981818,0.9716667,0.9437878
auto93.arff,0.92125,0.8402777,0.7858335,0.7998611,0.7441668,0.8016666,0.8891666,0.8494444,0.6354166,0.8949999,0.7691667,0.7691666
autoHorse.arff,0.9850693,0.9477475,0.8989315,0.9141025,0.9569177,0.9494657,0.9895477,0.9525729,0.9135105,0.9952546,0.9593483,0.9461538
autoMpg.arff,0.9616932,0.968627,0.8964912,0.9190017,0.8971024,0.965039,0.9692578,0.969003,0.9311054,0.9789055,0.8941793,0.8771304
autoPrice.arff,1,0.9946969,0.9456061,0.9469697,0.9639394,0.9562575,0.9981818,0.9965151,0.9619696,1,0.9516667,0.9433333
autos.arff,0.8335949,0.7693485,0.8625458,0.9180074,0.7371861,0.8381934,0.9112637,0.7964677,0.8873038,0.9703558,0.8375457,0.8113553
backache.arff,0.6833682,0.5,0.6035417,0.542257,0.5225,0.5480209,0.6477778,0.699375,0.5573264,0.6894444,0.57875,0.5575
badges2.arff,1,1,1,1,1,0.997619,1,1,1,1,1,1
balance-scale.arff,0.9713464,0.9941552,0.9808047,0.8263222,0.8802463,0.9820208,0.9813948,0.9941552,0.89381,0.9754773,0.9496125,0.9024505
balloon.arff,0.9723264,0.9552082,0.9875381,0.9886493,0.9804631,0.9749446,0.9749321,0.888077,0.9890427,0.999531,0.8784228,0.8054255
bank32nh.arff,0.8386804,0.804421,0.5452227,0.6872893,0.7563596,0.8901661,0.8854698,0.8640207,0.8242709,0.8807029,0.7659711,0.7570845
bank8FM.arff,0.962271,0.976544,0.7290223,0.9422933,0.9390889,0.9892162,0.9885128,0.9740329,0.9686895,0.9883982,0.9389851,0.9367421
baskball.arff,0.793,0.739,0.61,0.657,0.7225,0.802,0.713,0.738,0.6575,0.7665,0.7125,0.7025
biomed.arff,0.9375392,0.9514325,0.8581043,0.8914738,0.8406594,0.9309655,0.9312795,0.9513736,0.8865778,0.9495292,0.8301509,0.852129
bodyfat.arff,0.9961538,0.9193785,0.8621794,0.9961538,0.9961538,0.9892505,0.995069,0.9073965,0.9961538,0.9990385,0.9528846,0.9413461
bolts.arff,0.9875,0.95,0.7666666,0.8916666,0.9,0.925,0.9,0.9166667,0.875,0.95,0.8666666,0.7916666
boston.arff,0.9183369,0.8511259,0.8092447,0.8779351,0.8517255,0.9297548,0.9294548,0.8683505,0.8788109,0.9505304,0.8641255,0.8530542
boston_corrected.arff,0.9216086,0.8222341,0.8046635,0.8346452,0.857739,0.8990713,0.9404844,0.9124187,0.8946434,0.9404687,0.8647344,0.8661488
breast-cancer.arff,0.7157541,0.6443155,0.63123,0.6280556,0.6006896,0.66625,0.6941468,0.7154267,0.6088988,0.6516469,0.5982738,0.5927183
breastTumor.arff,0.9890323,0.9879237,0.9742131,0.9484682,0.9623411,0.9929952,0.9926451,0.9879116,0.9587753,0.9883836,0.9652138,0.9663007
breast-w.arff,0.6378983,0.6448531,0.4609222,0.5590074,0.5860294,0.6418506,0.6502757,0.6745406,0.6014705,0.5075979,0.5968137,0.6351103
bridges.arff,0.908631,0.9284524,0.7786905,0.7442262,0.8361906,0.8839286,0.9373809,0.9351191,0.5,0.8253572,0.8072618,0.7822618
cal_housing.arff,0.880069,0.8152563,0.8171711,0.9086027,0.8704273,0.9181304,0.9173027,0.8388281,0.9225397,0.9599335,0.8350629,0.8281854
car.arff,0.8966941,0.9898118,0.9997763,0.9819023,0.9599069,0.9913042,0.9864244,0.9898118,0.985853,0.9984303,0.9474573,0.9404106
cars.arff,0.9437896,0.5856686,0.8655191,0.8757167,0.8793052,0.7263871,0.8581924,0.896104,0.7738173,0.9736904,0.8881955,0.8876058
chatfield_4.arff,0.9462566,0.9390475,0.8160317,0.9145501,0.9131745,0.9683862,0.9633068,0.9390474,0.8783331,0.9612037,0.8821427,0.8479365
cholesterol.arff,0.5701377,0.5768908,0.5067852,0.5609668,0.5689429,0.6081124,0.6299927,0.5886736,0.4848376,0.5094366,0.5592518,0.5648957
chscase_adopt.arff,0.7333334,0.75,0.7166666,0.7249999,0.7416666,0.8,0.8333334,0.75,0.5,0.7500001,0.5333333,0.5083333
chscase_census2.arff,0.4918593,0.5067318,0.5425439,0.4823599,0.4956153,0.5045827,0.5376209,0.4845351,0.5181227,0.5438396,0.4797055,0.4909587
chscase_census3.arff,0.4555426,0.4788384,0.4968796,0.5,0.4742043,0.4970237,0.543586,0.476701,0.4812069,0.4197118,0.4860087,0.4995176
chscase_census5.arff,0.5186417,0.4677945,0.5243045,0.5,0.4907328,0.4570615,0.4377851,0.4597902,0.5061542,0.4849316,0.4900061,0.4869737
chscase_census6.arff,0.4476919,0.4740079,0.5000345,0.5,0.5091302,0.4539376,0.4419317,0.4600577,0.5048727,0.4786578,0.4979167,0.5
chscase_funds.arff,0.6600771,0.6658641,0.5866666,0.6552469,0.6431945,0.6941665,0.6637654,0.6669753,0.5,0.6631636,0.6375001,0.6344444
chscase_geyser1.arff,0.9274724,0.7554487,0.7996833,0.8565781,0.8651251,0.924504,0.9301664,0.9201389,0.8582875,0.8696772,0.8853632,0.8686965
chscase_health.arff,0.6333334,0.7666666,0.6583333,0.6333333,0.5,0.8,0.75,0.7666666,0.5,0.7083334,0.6749999,0.6583333
chscase_vine1.arff,0.9,0.7944446,0.7749999,0.775,0.8166666,0.8611111,0.8833334,0.7944446,0.7333333,0.9083333,0.7916665,0.8416665
chscase_vine2.arff,0.8260916,0.7990629,0.9002802,0.9091971,0.8756437,0.5030071,0.5199992,0.7996284,0.9060226,0.9434913,0.5,0.5208791
chscase_whale.arff,1,0.9867423,0.9867423,1,0.9867423,1,1,0.9901515,0.9867423,1,1,0.9867423
cleveland.arff,0.8976447,0.9008101,0.7537997,0.7724911,0.7964762,0.8963053,0.881866,0.9038744,0.8074508,0.8953094,0.819251,0.8272603
cmc.arff,0.7301953,0.6913458,0.5991527,0.7004593,0.705725,0.7058407,0.6913487,0.6969241,0.7205655,0.7277624,0.6458115,0.6369015
colic.arff,0.8695492,0.8322942,0.7965033,0.8492942,0.8394579,0.8400762,0.8706484,0.8498647,0.8608327,0.9111623,0.7813894,0.8105102
colleges_aaup.arff,0.9982662,0.9872587,0.8759437,0.9868077,0.972328,0.9707243,0.9580305,0.9899086,0.5,0.9984046,0.9622533,0.9508246
colleges_usnews.arff,0.789473,0.7779364,0.6052793,0.7091521,0.7110504,0.6790059,0.7993593,0.8048234,0.5007831,0.8095886,0.7172832,0.7286204
collins.arff,1,1,1,0.9925595,1,1,0.9654762,0.9806547,1,1,1,1
cpu.arff,0.99875,0.9904167,0.9109445,0.9652083,0.9322917,0.9715556,0.9988889,0.9918056,0.9097917,0.9988889,0.9720833,0.92375
cpu_act.arff,0.9387504,0.8626148,0.8906711,0.9157875,0.9102302,0.9799116,0.9686399,0.9565752,0.9515677,0.9825588,0.9129342,0.8990172
cpu_small.arff,0.9328224,0.8465472,0.8756024,0.913047,0.8891227,0.9678857,0.9608316,0.9491357,0.940957,0.9759432,0.8848115,0.876739
credit-a.arff,0.9319922,0.8620073,0.8082557,0.893571,0.8703587,0.9051674,0.9110521,0.8959178,0.8835077,0.9257687,0.8591661,0.8565345
credit-g.arff,0.7247381,0.7859999,0.66,0.6464285,0.6161429,0.7864047,0.7455952,0.7877143,0.725,0.7878572,0.6907143,0.6707142
cylinder-bands.arff,0.8000939,0.5378061,0.7219769,0.5,0.6359387,0.8539612,0.7307252,0.8138937,0.5681944,0.8974087,0.8096503,0.803179
datatrieve.arff,0.7219698,0.5,0.5583332,0.475,0.5662878,0.8204546,0.825,0.7727272,0.4833333,0.6871211,0.5,0.5
